Country,CountryCode,Continent,C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test
Aruba,ABW,NA,1.918226025,,4.795565061,0.959113012,2.877339037,0,3.836452049,0
Angola,AGO,AF,0.023227942,0.003871324,0.011613971,0,0.023227942,0,0.019356619,0
Albania,ALB,EU,7.783173193,0.241071736,,0.551021111,6.956641526,0.241071736,12.397975,0.860970486
Andorra,AND,EU,7.229089858,0,7.229089858,1.445817972,10.1207258,0,8.674907829,1.445817972
United Arab Emirates,ARE,AS,7.17602332,0.291357338,7.996140271,0.291357338,4.478270192,0.140283163,7.629245845,0.151074175
Argentina,ARG,SA,2.344501347,0.072980587,2.269240117,0.066138657,2.385552927,0.18473211,2.930626684,0.152803103
Armenia,ARM,EU,31.75759274,2.875037012,51.81675902,6.24577006,20.2904911,1.850598536,56.905905,9.781735121
American Samoa,ASM,NA,14.38797166,0,8.992482285,1.798496457,16.18646811,0,12.5894752,1.798496457
Antigua and Barbuda,ATG,NA,3.234919882,0,4.313226509,0,4.313226509,0,4.313226509,0
Australia,AUS,OC,7.137177372,0.230364226,7.622587706,0.246818814,5.28192262,0.230364226,7.667837822,0.341432693
Austria,AUT,EU,2.555535342,0.093352889,1.983748896,0.105022,2.357160452,0.186705778,2.83559401,0.128360223
Azerbaijan,AZE,EU,0.972797442,0.040533227,1.195730189,0.020266613,0.922130909,0.101333067,1.519996003,0
Burundi,BDI,AF,0.008656089,0,0,0,0.008656089,0,0.008656089,0
Belgium,BEL,EU,3.622956459,0.070348669,3.060167106,0.123110171,3.236038779,0.211046007,4.106603559,0.272601093
Benin,BEN,AF,0.134328462,0,0.125373232,0.008955231,0.134328462,0.008955231,0.250746463,0.008955231
Burkina Faso,BFA,AF,0.010733227,0,0.01609984,0,0.01609984,0,0.026833067,0
Bangladesh,BGD,AS,3.088191835,0.096371719,11.24786865,0.883918951,2.894220732,0.051561939,9.366471717,0.238167051
Bulgaria,BGR,EU,12.08825951,0.676266266,14.9905689,1.000310519,8.664661537,0.676266266,15.87816838,1.648399024
