IndicativJudet,NumeJudet,Regiune
ab,Alba,Centru
ag,Arges,Sud
ar,Arad,Vest
b,Municipiul Bucuresti,Bucuresti-Ilfov
bc,Bacau,Nord-Est
bh,Bihor,Nord-Vest
bn,Bistrita-Nasaud,Nord-Vest
br,Braila,Sud-Est
bt,Botosani,Nord-Est
bv,Brasov,Centru
bz,Buzau,Sud-Est
cj,Cluj,Nord-Vest
cl,Calarasi,Sud
cs,Caras-Severin,Vest
ct,Constanta,Sud-Est
cv,Covasna,Centru
db,Dambovita,Sud
dj,Dolj,Sud-Vest
gj,Gorj,Sud-Vest
gl,Galati,Sud-Est
gr,Giurgiu,Sud
hd,Hunedoara,Vest
hr,Harghita,Centru
if,Ilfov,Bucuresti-Ilfov
il,Ialomita,Sud
is,Iasi,Nord-Est
mh,Mehedinti,Sud-Vest
mm,Maramures,Nord-Vest
ms,Mures,Centru
nt,Neamt,Nord-Est
ot,Olt,Sud-Vest
ph,Prahova,Sud
sb,Sibiu,Centru
sj,Salaj,Nord-Vest
sm,Satu Mare,Nord-Vest
sv,Suceava,Nord-Est
tl,Tulcea,Sud-Est
tm,Timis,Vest
tr,Teleorman,Sud
vl,Valcea,Sud-Vest
vn,Vrancea,Sud-Est
vs,Vaslui,Nord-Est
