Code,City,County
1017,Municipiul Alba Iulia,ab
1071,Ciugud,ab
1151,Oras Abrud,ab
1213,Municipiul Aiud,ab
1348,Municipiul Blaj,ab
1455,Oras Campeni,ab
1696,Oras Cugir,ab
1794,Oras Ocna Mures,ab
1874,Municipiul Sebes,ab
1936,Oras Zlatna,ab
2130,Albac,ab
2309,Almasu Mare,ab
2381,Arieseni,ab
2577,Avram Iancu,ab
2915,Oras Baia De Aries,ab
2988,Berghin,ab
3039,Bistra,ab
3397,Blandiana,ab
3459,Bucium,ab
3761,Cenade,ab
3805,Cergau,ab
3841,Ceru-Bacainti,ab
3958,Cetatea De Balta,ab
4008,Ciuruleasa,ab
4106,Calnic,ab
4142,Cricau,ab
4188,Craciunelu De Jos,ab
4240,Daia Romana,ab
4268,Dostat,ab
4302,Farau,ab
4366,Galda De Jos,ab
4482,Garbova,ab
4525,Garda De Sus,ab
4703,Hoparta,ab
4767,Horea,ab
4927,Ighiu,ab
4981,Intregalde,ab
5103,Jidvei,ab
5167,Livezile,ab
5210,Lopadea Noua,ab
5309,Lunca Muresului,ab
5336,Lupsa,ab
5577,Metes,ab
5700,Mihalt,ab
5755,Miraslau,ab
5826,Mogos,ab
6048,Noslac,ab
6119,Ocolis,ab
6164,Ohaba,ab
6217,Pianu,ab
6271,Poiana Vadului,ab
6397,Ponor,ab
6468,Posaga,ab
6547,Radesti,ab
6592,Rametea,ab
6627,Ramet,ab
6761,Rosia Montana,ab
6930,Rosia De Secas,ab
6976,Salciua,ab
7044,Salistea,ab
7099,Sasciori,ab
7197,Scarisoara,ab
7348,Sancel,ab
7384,Santimbru,ab
7446,Sohodol,ab
7767,Stremt,ab
7810,Sibot,ab
7865,Sona,ab
7945,Spring,ab
8014,Sugag,ab
8096,Oras Teius,ab
8158,Unirea,ab
8229,Vadu Motilor,ab
8354,Valea Lunga,ab
8425,Vidra,ab
8826,Vintu De Jos,ab
9019,Cut,ab
9026,Bucerdea Granoasa,ab
9262,Municipiul Arad,ar
9280,Fantanele,ar
9333,Livada,ar
9360,Sofronea,ar
9397,Vladimirescu,ar
9459,Oras Chisineu-Cris,ar
9495,Oras Curtici,ar
9538,Oras Ineu,ar
9574,Oras Lipova,ar
9627,Oras Nadlac,ar
9654,Oras Pancota,ar
9690,Oras Sebis,ar
9743,Almas,ar
9798,Apateu,ar
9832,Archis,ar
9887,Bata,ar
9930,Beliu,ar
10006,Birchis,ar
10051,Barsa,ar
10104,Barzava,ar
10195,Bocsig,ar
10239,Brazii,ar
10293,Buteni,ar
10346,Carand,ar
10373,Cermei,ar
10417,Chisindia,ar
10453,Conop,ar
10514,Covasint,ar
10532,Craiva,ar
10649,Dezna,ar
10701,Dieci,ar
10765,Ususau,ar
10827,Felnac,ar
10872,Ghioroc,ar
10916,Graniceri,ar
10943,Gurahont,ar
11058,Halmagiu,ar
11174,Halmagel,ar
11236,Hasmas,ar
11307,Ignesti,ar
11352,Iratosu,ar
11398,Macea,ar
11423,Misca,ar
11478,Moneasa,ar
11502,Olari,ar
11539,Paulis,ar
11584,Oras Pecica,ar
11637,Peregu Mare,ar
11664,Petris,ar
11735,Pilu,ar
11762,Plescuta,ar
11842,Savarsin,ar
11940,Secusigiu,ar
11995,Seleus,ar
12037,Semlac,ar
12055,Sintea Mare,ar
12091,Oras Santana,ar
12126,Socodor,ar
12144,Sagu,ar
12206,Seitin,ar
12224,Sepreus,ar
12242,Sicula,ar
12288,Silindia,ar
12340,Simand,ar
12368,Siria,ar
12402,Sistarovat,ar
12457,Taut,ar
12509,Tarnova,ar
12572,Varadia De Mures,ar
12643,Vinga,ar
12689,Varfurile,ar
12778,Zabrani,ar
12812,Zarand,ar
12849,Zerind,ar
12876,Zimandu Nou,ar
12912,Dorobanti,ar
12920,Frumuseni,ar
12938,Zadareni,ar
13169,Municipiul Pitesti,ag
13187,Bascov,ag
13276,Bradu,ag
13301,Oras Mioveni,ag
13365,Maracineni,ag
13392,Oras Stefanesti,ag
13490,Municipiul Campulung,ag
13524,Valea Mare Pravat,ag
13622,Municipiul Curtea De Arges,ag
13668,Oras Costesti,ag
13757,Oras Topoloveni,ag
13819,Albestii De Arges,ag
13891,Albestii De Muscel,ag
13935,Albota,ag
13999,Aninoasa,ag
14049,Arefu,ag
14085,Babana,ag
14165,Baiculesti,ag
14272,Balilesti,ag
14352,Beleti-Negresti,ag
14405,Berevoesti,ag
14450,Barla,ag
14584,Bogati,ag
14673,Boteni,ag
14726,Botesti,ag
14753,Bradulet,ag
14851,Budeasa,ag
14922,Bughea De Jos,ag
14940,Buzoesti,ag
15064,Caldararu,ag
15108,Calinesti,ag
15233,Cateasca,ag
15313,Cepari,ag
15402,Cetateni,ag
15448,Cicanesti,ag
15493,Ciofrangeni,ag
15554,Ciomagesti,ag
15652,Cocu,ag
15741,Corbeni,ag
15830,Corbi,ag
15901,Cosesti,ag
15983,Cotmeana,ag
16132,Cuca,ag
16285,Davidesti,ag
16329,Dambovicioara,ag
16365,Darmanesti,ag
16427,Dobresti,ag
16454,Domnesti,ag
16472,Dragoslavele,ag
16506,Draganu,ag
16551,Godeni,ag
16613,Harsesti,ag
16659,Hartiesti,ag
16739,Izvoru,ag
16757,Leordeni,ag
16908,Leresti,ag
16944,Lunca Corbului,ag
17049,Malureni,ag
17101,Merisani,ag
17209,Micesti,ag
17254,Mihaesti,ag
17334,Mioarele,ag
17398,Mirosi,ag
17423,Moraresti,ag
17496,Mosoaia,ag
17575,Mozaceni,ag
17619,Musatesti,ag
17726,Negrasi,ag
17771,Nucsoara,ag
17824,Oarja,ag
17851,Pietrosani,ag
17913,Poienarii De Arges,ag
17968,Poienarii De Muscel,ag
18028,Poiana Lacului,ag
18162,Popesti,ag
18242,Priboieni,ag
18331,Ratesti,ag
18411,Recea,ag
18475,Rociu,ag
18527,Rucar,ag
18554,Salatrucu,ag
18581,Sapata,ag
18670,Schitu Golesti,ag
18741,Slobozia,ag
18778,Stalpeni,ag
18858,Stoenesti,ag
18938,Stolnici,ag
19007,Suseni,ag
19114,Stefan Cel Mare,ag
19141,Suici,ag
19212,Teiu,ag
19249,Tigveni,ag
19338,Titesti,ag
19392,Uda,ag
19560,Ungheni,ag
19631,Valea Danului,ag
19695,Valea Iasului,ag
19793,Vedea,ag
19999,Vladesti,ag
20048,Raca,ag
20055,Vulturesti,ag
20063,Bughea De Sus,ag
20297,Municipiul Bacau,bc
20313,Hemeius,bc
20359,Letea Veche,bc
20411,Magura,bc
20466,Margineni,bc
20563,Municipiul Onesti,bc
20607,Gura Vaii,bc
20670,Stefan Cel Mare,bc
20778,Oras Buhusi,bc
20821,Oras Comanesti,bc
20876,Municipiul Moinesti,bc
20910,Oras Slanic-Moldova,bc
20965,Oras Targu Ocna,bc
21007,Agas,bc
21098,Ardeoani,bc
21123,Asau,bc
21196,Balcani,bc
21249,Beresti-Bistrita,bc
21338,Beresti-Tazlau,bc
21418,Berzunti,bc
21454,Barsanesti,bc
21506,Blagesti,bc
21560,Bogdanesti,bc
21597,Brusturoasa,bc
21668,Buhoci,bc
21720,Casin,bc
21757,Caiuti,bc
21855,Cleja,bc
21891,Colonesti,bc
21971,Corbasca,bc
22059,Cotofanesti,bc
22111,Damienesti,bc
22166,Oras Darmanesti,bc
22237,Dealu Morii,bc
22380,Dofteana,bc
22460,Faraoani,bc
22488,Filipeni,bc
22576,Filipesti,bc
22665,Gaiceana,bc
22718,Ghimes-Faget,bc
22781,Garleni,bc
22834,Glavanesti,bc
22898,Helegiu,bc
22941,Horgesti,bc
23047,Huruiesti,bc
23127,Izvoru Berheciului,bc
23207,Lipova,bc
23289,Livezi,bc
23350,Luizi-Calugara,bc
23387,Magiresti,bc
23449,Manastirea Casin,bc
23494,Motoseni,bc
23644,Negri,bc
23715,Nicolae Balcescu,bc
23797,Oituz,bc
23868,Oncesti,bc
23948,Orbeni,bc
23975,Palanca,bc
24034,Parava,bc
24089,Parincea,bc
24187,Pancesti,bc
24276,Pargaresti,bc
24338,Parjol,bc
24427,Plopana,bc
24524,Podu Turcului,bc
24631,Poduri,bc
24711,Racova,bc
24766,Racaciuni,bc
24837,Rachitoasa,bc
24999,Rosiori,bc
25068,Sascut,bc
25148,Sanduleni,bc
25228,Saucesti,bc
25291,Scorteni,bc
25362,Secuieni,bc
25488,Solont,bc
25521,Stanisesti,bc
25629,Strugari,bc
25692,Tamasi,bc
25745,Tatarasti,bc
25825,Targu Trotus,bc
25861,Traian,bc
25932,Ungureni,bc
26029,Urechesti,bc
26083,Valea Seaca,bc
26118,Vultureni,bc
26289,Zemes,bc
26320,Sarata,bc
26338,Buciumi,bc
26346,Gioseni,bc
26353,Odobesti,bc
26361,Prajesti,bc
26379,Itesti,bc
26564,Municipiul Oradea,bh
26582,Sanmartin,bh
26653,Santandrei,bh
26699,Oras Alesd,bh
26742,Astileu,bh
26804,Municipiul Beius,bh
26840,Oras Stei,bh
26877,Municipiul Marghita,bh
26920,Oras Nucet,bh
26975,Municipiul Salonta,bh
27007,Oras Vascau,bh
27070,Abram,bh
27169,Abramut,bh
27212,Auseu,bh
27285,Avram Iancu,bh
27329,Balc,bh
27383,Batar,bh
27436,Biharia,bh
27506,Boianu Mare,bh
27560,Borod,bh
27631,Bors,bh
27686,Bratca,bh
27757,Brusturi,bh
27846,Budureasa,bh
27908,Buduslau,bh
27935,Bulz,bh
27971,Buntesti,bh
28077,Cabesti,bh
28139,Capalna,bh
28193,Carpinet,bh
28246,Cefa,bh
28335,Ceica,bh
28415,Cetariu,bh
28497,Cherechiu,bh
28530,Chislaz,bh
28610,Ciuhoi,bh
28665,Ciumeghiu,bh
28709,Campani,bh
28763,Cociuba Mare,bh
28816,Copacel,bh
28889,Cristioru De Jos,bh
28941,Curatele,bh
29001,Curtuiseni,bh
29038,Derna,bh
29092,Diosig,bh
29154,Dobresti,bh
29243,Draganesti,bh
29341,Dragesti,bh
29403,Finis,bh
29467,Girisu De Cris,bh
29519,Hidiselu De Sus,bh
29573,Holod,bh
29662,Husasau De Tinca,bh
29724,Ineu,bh
29760,Lazuri De Beius,bh
29813,Lazareni,bh
29902,Lugasu De Jos,bh
29948,Lunca,bh
30014,Madaras,bh
30069,Magesti,bh
30149,Nojorid,bh
30229,Olcea,bh
30274,Osorhei,bh
30336,Pietroasa,bh
30416,Pocola,bh
30470,Pomezeu,bh
30568,Popesti,bh
30648,Rabagani,bh
30719,Remetea,bh
30773,Rieni,bh
30844,Rosia,bh
30871,Sacadat,bh
30915,Oras Sacueni,bh
30988,Salacea,bh
31011,Salard,bh
31057,Sambata,bh
31128,Sarbi,bh
31208,Spinus,bh
31262,Suplacu De Barcau,bh
31333,Simian,bh
31379,Sinteu,bh
31422,Soimi,bh
31510,Suncuius,bh
31565,Tarcea,bh
31609,Tarcaia,bh
31654,Tauteu,bh
31716,Tileagd,bh
31789,Tinca,bh
31841,Tulca,bh
31878,Tetchea,bh
31921,Uileacu De Beius,bh
31976,Vadu Crisului,bh
32027,Oras Valea Lui Mihai,bh
32045,Viisoara,bh
32090,Varciorog,bh
32153,Tamaseu,bh
