Siruta,Localitate,Judet,Mediu,Votanti_LP,Votanti_LS,LP,LS,LSC,UM,LT,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
1017,Municipiul Alba Iulia,ab,U,61753,0,20290,1357,0,117,21764,841,1513,2318,4071,2143,782,1503,2213,4419,1961
1071,Ciugud,ab,R,2656,0,1183,156,0,89,1428,47,109,137,246,166,57,102,125,254,185
1151,Oras Abrud,ab,U,4491,0,1460,163,0,22,1645,75,104,112,408,159,62,62,120,392,151
1213,Municipiul Aiud,ab,U,21348,0,5494,342,0,113,5949,255,376,463,1298,759,233,274,396,1210,685
1348,Municipiul Blaj,ab,U,16807,0,5328,219,0,76,5623,252,326,459,1111,687,209,291,435,1150,703
1455,Oras Campeni,ab,U,6181,0,2433,231,0,24,2688,124,168,222,602,268,97,138,231,588,250
1696,Oras Cugir,ab,U,21810,0,6815,278,0,43,7136,213,382,571,1468,1019,204,339,475,1555,910
1794,Oras Ocna Mures,ab,U,11688,0,2665,152,0,1,2818,137,155,169,664,354,118,122,173,569,357
1874,Municipiul Sebes,ab,U,26149,0,7370,367,0,79,7816,317,541,750,1546,792,312,511,693,1554,800
1936,Oras Zlatna,ab,U,6645,0,2056,183,0,17,2256,116,166,171,527,206,91,163,174,464,178
2130,Albac,ab,R,1647,0,589,77,0,48,714,35,53,70,165,79,28,45,55,113,71
2309,Almasu Mare,ab,R,1031,0,405,65,0,1,471,25,35,32,130,43,15,20,29,93,49
2381,Arieseni,ab,R,1366,0,809,60,0,38,907,46,71,88,179,92,50,62,72,156,91
2577,Avram Iancu,ab,R,1223,0,426,30,0,33,489,25,28,46,104,58,20,20,38,79,71
2915,Oras Baia De Aries,ab,U,3326,0,885,81,0,13,979,55,56,62,263,107,44,48,48,215,81
2988,Berghin,ab,R,1603,0,402,89,0,0,491,31,34,43,109,62,19,34,31,77,51
3039,Bistra,ab,R,3841,0,1203,58,0,24,1285,72,70,102,315,137,71,84,98,232,104
3397,Blandiana,ab,R,765,0,215,58,0,32,305,12,22,26,66,41,7,21,24,47,39
3459,Bucium,ab,R,1250,0,388,47,0,26,461,17,22,30,109,62,14,24,27,86,70
3761,Cenade,ab,R,772,0,267,10,0,18,295,21,25,18,75,28,12,18,21,43,34
3805,Cergau,ab,R,1276,0,545,55,0,47,647,37,59,49,128,74,38,42,38,97,85
3841,Ceru-Bacainti,ab,R,213,0,101,65,0,0,166,11,12,22,34,22,4,9,16,18,18
3958,Cetatea De Balta,ab,R,2378,0,704,55,0,31,790,32,63,70,151,91,43,60,51,129,100
4008,Ciuruleasa,ab,R,945,0,507,49,0,29,585,28,46,48,126,64,20,39,49,96,69
4106,Calnic,ab,R,1476,0,486,32,0,0,518,37,39,63,96,41,29,41,47,85,40
4142,Cricau,ab,R,1667,0,467,73,0,22,562,28,38,55,119,63,21,26,50,104,58
4188,Craciunelu De Jos,ab,R,1711,0,652,36,0,14,702,35,43,59,137,68,21,53,65,131,90
4240,Daia Romana,ab,R,2560,0,947,44,0,0,991,57,82,94,208,100,56,60,82,176,76
4268,Dostat,ab,R,770,0,328,35,0,15,378,29,33,37,58,33,23,33,30,57,45
4302,Farau,ab,R,1250,0,549,108,0,22,679,42,48,67,129,92,31,28,50,95,97
4366,Galda De Jos,ab,R,3681,0,973,146,0,3,1122,59,76,99,237,136,33,76,86,215,105
4482,Garbova,ab,R,1646,0,433,41,0,10,484,26,40,50,95,35,24,37,39,82,56
4525,Garda De Sus,ab,R,1311,0,420,40,0,0,460,22,35,55,116,38,14,29,34,89,28
4703,Hoparta,ab,R,883,0,288,80,0,0,368,18,31,37,67,44,32,23,30,45,41
4767,Horea,ab,R,1629,0,830,75,0,29,934,56,70,93,207,83,36,60,81,147,101
4927,Ighiu,ab,R,5666,0,1609,115,0,3,1727,92,137,173,372,154,94,110,161,305,129
4981,Intregalde,ab,R,511,0,160,59,0,0,219,12,19,18,42,30,12,10,12,41,23
5103,Jidvei,ab,R,4216,0,1327,66,0,1,1394,83,119,146,293,114,70,123,116,221,109
5167,Livezile,ab,R,1059,0,424,108,0,68,600,18,35,47,115,101,14,24,34,98,114
5210,Lopadea Noua,ab,R,2193,0,809,106,0,5,920,40,63,77,184,119,33,51,74,171,108
5309,Lunca Muresului,ab,R,2061,0,402,43,0,3,448,22,31,31,110,53,20,27,23,83,48
5336,Lupsa,ab,R,2588,0,916,66,0,2,984,49,78,74,243,99,52,50,51,207,81
5577,Metes,ab,R,2327,0,802,149,0,13,964,40,64,92,182,127,36,61,93,182,87
5700,Mihalt,ab,R,2739,0,872,85,0,19,976,58,80,90,200,110,42,57,63,170,106
5755,Miraslau,ab,R,1698,0,466,74,0,0,540,19,29,46,124,59,26,27,40,105,65
5826,Mogos,ab,R,684,0,248,62,0,13,323,6,19,27,69,57,6,15,22,51,51
6048,Noslac,ab,R,1489,0,463,54,0,0,517,29,49,33,103,77,15,35,33,81,62
6119,Ocolis,ab,R,473,0,230,79,0,13,322,14,15,25,74,48,10,16,17,54,49
6164,Ohaba,ab,R,529,0,200,79,0,29,308,15,21,16,56,49,11,15,10,44,71
6217,Pianu,ab,R,2922,0,874,101,0,33,1008,65,89,89,184,96,42,90,67,177,109
6271,Poiana Vadului,ab,R,856,0,274,11,0,0,285,21,20,32,69,21,13,23,26,42,18
6397,Ponor,ab,R,535,0,172,42,0,8,222,12,23,19,52,27,5,11,10,34,29
6468,Posaga,ab,R,847,0,331,57,0,0,388,17,16,32,76,50,27,19,26,79,46
6547,Radesti,ab,R,1078,0,429,78,0,22,529,27,36,40,110,82,13,24,35,85,77
6592,Rametea,ab,R,890,0,276,39,0,16,331,13,25,20,62,51,14,12,19,67,48
6627,Ramet,ab,R,458,0,163,92,0,4,259,8,16,15,54,28,11,17,20,65,25
6761,Rosia Montana,ab,R,2271,0,802,80,0,5,887,41,58,85,226,72,40,53,66,163,83
6930,Rosia De Secas,ab,R,1226,0,285,44,0,3,332,27,36,19,71,39,17,14,22,40,47
6976,Salciua,ab,R,1250,0,402,32,0,26,460,28,32,33,129,53,13,19,25,83,45
7044,Salistea,ab,R,1898,0,830,108,0,38,976,50,83,98,182,108,39,79,68,160,109
7099,Sasciori,ab,R,4857,0,1574,101,0,0,1675,125,170,191,284,148,102,141,147,268,99
7197,Scarisoara,ab,R,1250,0,555,77,0,44,676,31,54,58,138,74,38,32,55,112,84
7348,Sancel,ab,R,2156,0,659,66,0,10,735,48,51,40,168,85,40,49,44,130,80
7384,Santimbru,ab,R,2445,0,812,141,0,38,991,55,73,94,176,115,49,55,81,195,98
7446,Sohodol,ab,R,1440,0,478,87,0,10,575,29,47,63,128,58,26,36,49,105,34
7767,Stremt,ab,R,2057,0,696,103,0,42,841,42,62,65,167,126,34,45,55,145,100
7810,Sibot,ab,R,2066,0,634,118,0,14,766,33,54,53,176,99,19,40,55,154,83
7865,Sona,ab,R,3600,0,987,75,0,35,1097,59,70,92,236,137,48,58,70,212,115
7945,Spring,ab,R,2037,0,762,102,0,2,866,45,65,83,165,85,60,55,67,160,81
8014,Sugag,ab,R,2296,0,1003,64,0,18,1085,68,101,108,212,115,41,95,81,187,77
8096,Oras Teius,ab,U,5912,0,1710,150,0,19,1879,78,127,143,400,238,71,104,130,368,220
8158,Unirea,ab,R,3961,0,914,234,0,71,1219,52,106,84,244,159,58,55,86,189,186
8229,Vadu Motilor,ab,R,1099,0,510,59,0,2,571,41,37,63,126,47,23,39,55,96,44
8354,Valea Lunga,ab,R,2490,0,791,104,0,40,935,56,55,81,188,92,42,52,88,172,109
8425,Vidra,ab,R,1312,0,522,51,0,3,576,32,41,45,131,59,33,39,54,95,47
8826,Vintu De Jos,ab,R,4464,0,1293,140,0,2,1435,69,116,120,306,159,67,101,102,262,133
9019,Cut,ab,R,1053,0,444,34,0,0,478,27,32,40,98,50,19,24,48,81,59
9026,Bucerdea Granoasa,ab,R,1813,0,647,22,0,18,687,43,38,72,153,54,31,58,64,115,59
9262,Municipiul Arad,ar,U,146682,0,39771,2380,0,333,42484,1534,2874,4324,8432,4362,1410,2726,3902,8395,4525
9280,Fantanele,ar,R,3035,0,869,62,0,4,935,43,64,100,192,75,44,67,84,187,79
9333,Livada,ar,R,3201,0,977,78,0,4,1059,62,83,148,199,80,52,82,114,167,72
9360,Sofronea,ar,R,2452,0,760,71,0,14,845,39,58,84,182,81,38,48,61,167,87
9397,Vladimirescu,ar,R,11706,0,3029,249,0,6,3284,144,260,379,709,271,130,204,350,607,230
9459,Oras Chisineu-Cris,ar,U,6703,0,1889,110,0,9,2008,81,134,199,434,193,99,111,180,394,183
9495,Oras Curtici,ar,U,7033,0,1358,71,0,0,1429,62,128,149,294,158,64,81,104,274,115
9538,Oras Ineu,ar,U,7853,0,2379,137,0,16,2532,108,178,241,559,248,99,170,236,495,198
9574,Oras Lipova,ar,U,9365,0,2441,198,0,17,2656,116,209,271,546,278,95,165,206,499,271
9627,Oras Nadlac,ar,U,6550,0,1510,75,0,17,1602,70,120,137,330,160,53,109,129,341,153
9654,Oras Pancota,ar,U,6417,0,1558,135,0,29,1722,83,151,154,332,171,76,128,150,311,166
9690,Oras Sebis,ar,U,5283,0,1411,172,0,6,1589,77,121,135,343,178,72,119,113,306,125
9743,Almas,ar,R,2079,0,651,77,0,4,732,42,56,56,163,82,38,44,58,122,71
9798,Apateu,ar,R,2786,0,841,67,0,4,912,51,78,95,177,113,42,53,71,143,89
9832,Archis,ar,R,1208,0,547,62,0,10,619,33,30,63,125,86,24,43,58,94,63
9887,Bata,ar,R,844,0,252,64,0,0,316,15,25,27,72,42,11,11,34,41,38
9930,Beliu,ar,R,2474,0,734,117,0,2,853,43,66,76,176,84,42,57,74,162,73
10006,Birchis,ar,R,1476,0,303,56,0,0,359,16,39,33,83,42,16,22,21,60,27
10051,Barsa,ar,R,1480,0,573,99,0,9,681,36,45,62,142,63,25,49,59,137,63
10104,Barzava,ar,R,2056,0,745,158,0,31,934,43,69,82,176,116,34,57,74,160,123
10195,Bocsig,ar,R,2712,0,849,69,0,1,919,47,67,85,210,79,32,60,92,165,82
10239,Brazii,ar,R,983,0,422,91,0,0,513,36,50,39,102,55,33,24,37,89,48
10293,Buteni,ar,R,2737,0,1036,110,0,45,1191,66,90,84,248,120,59,70,98,220,136
10346,Carand,ar,R,898,0,293,49,0,0,342,13,27,24,77,38,17,18,17,69,42
10373,Cermei,ar,R,2220,0,733,75,0,8,816,28,68,74,193,81,32,50,62,153,75
10417,Chisindia,ar,R,1043,0,388,52,0,4,444,23,21,40,98,53,16,25,38,88,42
10453,Conop,ar,R,1751,0,486,89,0,15,590,22,44,56,111,60,31,38,42,114,72
10514,Covasint,ar,R,2097,0,441,31,0,8,480,18,37,53,103,46,14,39,36,90,44
