Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
ab,5.427323615031926,5.261204750740673,5.052810157106168,5.275406213574353,5.228181653215326,5.328934816174231,5.124015968821037,4.967782343916306,5.058544637900444,5.2526791827476655
ag,5.544503711415301,5.496559066297497,5.207759035004567,5.46537994200924,5.509360774007101,5.418136869387044,5.386760782253771,5.131460755846975,5.233105634393735,5.438037726859202
ar,5.048807053859427,4.869375888567911,4.610669610693427,4.773444906715002,4.75168002511168,4.997960775163955,4.726603903014162,4.567264429310673,4.601354975677239,4.6125965918196785
b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bc,5.6332840432040365,5.468590175847034,5.245041734148528,5.377355055765997,5.294467786969569,5.595808710751288,5.380598986604987,5.272646117997156,5.0858861799917,5.203410483041507
bh,5.545850091540277,5.260358543454978,5.091432842236303,5.297392931206432,5.30968806127358,5.446397236061114,5.106869032407742,5.039759067451706,5.067748147889925,5.278042437927853
bn,5.1466832573276164,4.970029977390235,4.814070250024626,4.842285576432198,5.061420352951285,5.117452489675392,4.882998102209059,4.8152050833206355,4.671647405583884,5.111932984218133
br,3.6824046726913546,3.571879657678193,3.2387960117142924,3.1830610975826144,2.982272740155576,3.648086743951699,3.5082068644177524,3.1950083324066054,2.7288222135854046,2.848654330393291
bt,5.481158755608142,5.292115320883485,5.19780581431252,5.217883062404359,5.405508779005858,5.415236982653352,5.310502098438605,5.171743875219076,4.851620864202705,5.441594638321279
bv,4.200068234158979,3.717363681895669,3.5439237151158727,3.7290950335707187,3.5444225286362565,4.115653611467037,3.6318470857953895,3.4555659057060035,3.54735651122481,3.4355672208571244
bz,5.489271254764932,5.575350439606027,5.273554902314953,5.312278921563196,5.354935731016465,5.4041522468429735,5.42443321330516,5.199644284531723,5.00113009978196,5.405178263226585
cj,4.062877760130143,3.3381803271454515,3.4835959909822214,4.0799316753608235,4.170465903117032,3.883950797920226,3.0951484983313624,3.440175035513957,3.734281425412415,3.933710937750304
cl,5.254301243185682,5.287782389554427,5.116099518845256,5.035746050052229,4.994361179131496,5.186653735709046,5.263578888691457,5.026659964533972,4.787383254220495,4.986724611330186
cs,5.456508764123524,5.535423746901768,5.408632613752912,5.28158939642554,5.4199676211582775,5.434575949101717,5.483294536154575,5.265476632784927,5.200959229584454,5.442124452598466
ct,4.407863541759536,4.1947960040468075,4.033401024273061,4.134179685094957,3.7256598664777902,4.220455770077099,4.078624258701873,3.8981125109151877,3.843669046500288,3.5010983447285478
cv,4.664336985103724,4.696683047030087,4.551793689389699,4.493710545739907,4.395297725756379,4.731295241106414,4.682341501866863,4.5229921452700985,4.337098218143363,4.356524428133794
db,6.003957974684163,6.0429737075393914,5.86881539515284,5.941231844753302,5.8841966174903995,5.9649043949989,5.995049837540222,5.840196951464155,5.776053932570177,5.8535054163533555
dj,5.245225733479365,5.179200801987005,4.786077986845108,5.071027486200988,5.378802534998455,5.066290454913039,4.995734510708698,4.6709449919682084,4.797154944589733,5.468183171875101
gj,5.334963868834602,5.463549890828003,5.214767486399073,5.380842223681764,5.534999304240687,5.31708373725819,5.386480291456294,5.142815495486277,5.2330663689226125,5.473771818360612
gl,4.3536124717056115,4.231236551577647,3.9760392782023004,4.060107000484126,3.967318021053162,4.336568989739216,4.0948348261318035,3.932717778426119,3.6675876366630984,3.985239698026597
gr,5.379386842616527,5.432272826965134,5.291181196425201,5.208773766947671,5.254296468397255,5.398542853837234,5.383366248377913,5.204842681458188,5.075686512994385,5.2294393063074285
hd,5.11153097400341,5.267366624363992,5.08800192848994,4.985636716749085,5.019685307677432,5.006269506607157,5.25523401348353,4.980994752710211,4.888711133908394,4.898860651138069
