Siruta,Localitate,Categorie dominanta
1017,Municipiul Alba Iulia,Femei_45-64
1071,Ciugud,Femei_45-64
1348,Municipiul Blaj,Femei_45-64
1696,Oras Cugir,Femei_45-64
1874,Municipiul Sebes,Femei_45-64
6468,Posaga,Femei_45-64
6592,Rametea,Femei_45-64
6627,Ramet,Femei_45-64
7384,Santimbru,Femei_45-64
9627,Oras Nadlac,Femei_45-64
10453,Conop,Femei_45-64
10649,Dezna,Femei_45-64
10701,Dieci,Femei_45-64
12849,Zerind,Femei_45-64
13169,Municipiul Pitesti,Femei_45-64
13365,Maracineni,Femei_45-64
13490,Municipiul Campulung,Femei_45-64
13622,Municipiul Curtea De Arges,Femei_45-64
14753,Bradulet,Femei_45-64
15830,Corbi,Femei_45-64
17913,Poienarii De Arges,Femei_45-64
18554,Salatrucu,Femei_45-64
19141,Suici,Femei_45-64
20297,Municipiul Bacau,Femei_45-64
20563,Municipiul Onesti,Femei_45-64
20778,Oras Buhusi,Femei_45-64
20821,Oras Comanesti,Femei_45-64
20965,Oras Targu Ocna,Femei_45-64
22166,Oras Darmanesti,Femei_45-64
22460,Faraoani,Femei_45-64
22781,Garleni,Femei_45-64
26564,Municipiul Oradea,Femei_45-64
26804,Municipiul Beius,Femei_45-64
26877,Municipiul Marghita,Femei_45-64
26975,Municipiul Salonta,Femei_45-64
27007,Oras Vascau,Femei_45-64
27169,Abramut,Femei_45-64
27436,Biharia,Femei_45-64
28415,Cetariu,Femei_45-64
28709,Campani,Femei_45-64
29092,Diosig,Femei_45-64
29341,Dragesti,Femei_45-64
30988,Salacea,Femei_45-64
31208,Spinus,Femei_45-64
31379,Sinteu,Femei_45-64
31565,Tarcea,Femei_45-64
31841,Tulca,Femei_45-64
32027,Oras Valea Lui Mihai,Femei_45-64
32394,Municipiul Bistrita,Femei_45-64
32483,Oras Beclean,Femei_45-64
32544,Oras Nasaud,Femei_45-64
32599,Oras Sangeorz-Bai,Femei_45-64
32633,Bistrita Bargaului,Femei_45-64
34262,Rebra,Femei_45-64
34397,Salva,Femei_45-64
34618,Sant,Femei_45-64
34645,Sieu,Femei_45-64
35731,Municipiul Botosani,Femei_45-64
36006,Municipiul Dorohoi,Femei_45-64
40198,Municipiul Brasov,Femei_45-64
40278,Municipiul Fagaras,Femei_45-64
40303,Oras Predeal,Femei_45-64
40438,Municipiul Sacele,Femei_45-64
40465,Oras Victoria,Femei_45-64
40492,Oras Zarnesti,Femei_45-64
40606,Bod,Femei_45-64
40633,Bran,Femei_45-64
40704,Bunesti,Femei_45-64
41033,Halchiu,Femei_45-64
41667,Prejmer,Femei_45-64
41943,Soars,Femei_45-64
42058,Teliu,Femei_45-64
42456,Crizbav,Femei_45-64
42682,Municipiul Braila,Femei_45-64
44818,Municipiul Buzau,Femei_45-64
44845,Municipiul Ramnicu Sarat,Femei_45-64
45003,Beceni,Femei_45-64
49484,Siriu,Femei_45-64
51305,Bania,Femei_45-64
52936,Glimboca,Femei_45-64
54975,Municipiul Cluj-Napoca,Femei_45-64
55446,Oras Huedin,Femei_45-64
58204,Izvoru Crisului,Femei_45-64
59238,Risca,Femei_45-64
60419,Municipiul Constanta,Femei_45-64
60455,Oras Eforie,Femei_45-64
60482,Municipiul Mangalia,Femei_45-64
60507,Oras Navodari,Femei_45-64
60534,Oras Techirghiol,Femei_45-64
60801,Oras Harsova,Femei_45-64
60847,Municipiul Medgidia,Femei_45-64
63045,Topalu,Femei_45-64
63294,Baraganu,Femei_45-64
63394,Municipiul Sfantu Gheorghe,Femei_45-64
63447,Oras Baraolt,Femei_45-64
63526,Oras Covasna,Femei_45-64
63553,Comandau,Femei_45-64
63740,Municipiul Targu Secuiesc,Femei_45-64
63777,Aita Mare,Femei_45-64
64005,Brates,Femei_45-64
64041,Bradut,Femei_45-64
64194,Cernat,Femei_45-64
64504,Malnas,Femei_45-64
64602,Ojdula,Femei_45-64
64773,Reci,Femei_45-64
64826,Sanzieni,Femei_45-64
64871,Turia,Femei_45-64
64906,Valea Crisului,Femei_45-64
65121,Bixad,Femei_45-64
65139,Micfalau,Femei_45-64
65342,Municipiul Targoviste,Femei_45-64
65609,Oras Fieni,Femei_45-64
65681,Oras Gaesti,Femei_45-64
65841,Municipiul Moreni,Femei_45-64
65921,Oras Pucioasa,Femei_45-64
66009,Branesti,Femei_45-64
66438,Buciumeni,Femei_45-64
68280,Nucet,Femei_45-64
69615,Vulcana-Bai,Femei_45-64
70637,Amarastii De Jos,Femei_45-64
71910,Cotofenii Din Dos,Femei_45-64
73594,Perisor,Femei_45-64
74073,Scaesti,Femei_45-64
75098,Municipiul Galati,Femei_45-64
83133,Municipiul Odorheiu Secuiesc,Femei_45-64
83320,Municipiul Miercurea Ciuc,Femei_45-64
83375,Pauleni-Ciuc,Femei_45-64
83428,Oras Baile Tusnad,Femei_45-64
83464,Oras Balan,Femei_45-64
83525,Oras Cristuru Secuiesc,Femei_45-64
83561,Municipiul Gheorgheni,Femei_45-64
83785,Atid,Femei_45-64
83936,Bilbor,Femei_45-64
83981,Ciucsangeorgiu,Femei_45-64
