Siruta,localitate,Procent participare
1071,Ciugud,53.765060240963855
2381,Arieseni,66.398243045388
3805,Cergau,50.705329153605014
3841,Ceru-Bacainti,77.93427230046949
4008,Ciuruleasa,61.904761904761905
4302,Farau,54.32
4767,Horea,57.33578882750153
5167,Livezile,56.657223796033996
6119,Ocolis,68.07610993657505
6164,Ohaba,58.22306238185255
6627,Ramet,56.55021834061135
7044,Salistea,51.422550052687036
7197,Scarisoara,54.08
8229,Vadu Motilor,51.956323930846224
9832,Archis,51.241721854304636
10239,Brazii,52.18718209562564
10701,Dieci,54.23728813559322
11236,Hasmas,54.9949545913219
11478,Moneasa,55.05181347150259
16329,Dambovicioara,62.483311081441926
16454,Domnesti,50.81143740340031
16659,Hartiesti,65.18475750577367
17771,Nucsoara,64.53333333333333
18475,Rociu,60.117878192534384
18581,Sapata,56.86131386861314
20048,Raca,58.8235294117647
22488,Filipeni,62.865497076023395
26920,Oras Nucet,55.85014409221902
27007,Oras Vascau,51.28073770491803
27631,Bors,50.05494505494506
27935,Bulz,51.73836181496759
27971,Buntesti,61.84606956998083
28139,Capalna,51.596638655462186
28763,Cociuba Mare,56.98030634573304
28816,Copacel,52.458033573141485
28889,Cristioru De Jos,51.69491525423729
29243,Draganesti,52.08591491119372
29760,Lazuri De Beius,55.38116591928251
29813,Lazareni,52.11864406779661
29902,Lugasu De Jos,52.30769230769231
29948,Lunca,59.28196147110333
30416,Pocola,59.32773109243698
30470,Pomezeu,51.39275766016713
30719,Remetea,55.94882729211088
30773,Rieni,66.4860358482701
30844,Rosia,57.33540694660446
30988,Salacea,56.077795786061586
31057,Sambata,60.9375
31128,Sarbi,57.03245749613601
31208,Spinus,55.62632696390658
31609,Tarcaia,57.028360049321826
32045,Viisoara,63.07837582625118
32090,Varciorog,50.55831265508685
32179,Sannicolau Roman,52.00225606316977
34477,Sanmihaiu De Campie,55.04587155963303
36649,Cordareni,54.81111903064861
42449,Sinca Noua,65.6832298136646
43019,Ciresu,59.34819897084048
44934,Balta Alba,51.217038539553755
45334,Blajani,65.07352941176471
45888,Canesti,61.99324324324324
46108,Chiliile,64.1025641025641
46251,Cilibia,51.88933873144399
46439,Colti,51.570048309178745
47818,Murgesti,54.5827633378933
48165,Pardosi,75.07987220447285
49439,Scutelnici,54.0
50399,Valcelele,67.13780918727915
50479,Ziduri,62.86135693215339
50987,Ocna De Fier,55.42372881355932
51243,Armenis,52.69582909460834
51626,Brebu,58.21989528795812
52954,Goruia,51.52439024390244
53069,Lapusnicel,62.531969309462916
53103,Lapusnicu Mare,58.463832960477255
53345,Naidas,50.34965034965035
