Siruta,localitate,Procent participare
111220,Ciresu,147.12041884816753
89151,Cerbal,120.97186700767263
113153,Poroina Mare,113.38582677165354
112806,Padina,105.08298755186722
112600,Livezile,104.45026178010471
155662,Bara,102.62172284644194
152662,Crangu,99.64189794091315
72604,Gogosu,98.66962305986696
110456,Balta,95.47079856972586
111818,Godeanu,94.03973509933775
112959,Podeni,92.20389805097452
111916,Greci,90.37267080745342
113233,Prunisor,86.31303208906353
110571,Bacles,85.95271210013908
113849,Vanatori,84.44306160547605
126228,Colonesti,84.41153546375682
112129,Husnicioara,83.63821138211382
88920,Bulzestii De Sus,82.95964125560538
125757,Barasti,81.81818181818181
70968,Botosesti-Paia,81.63636363636364
59130,Recea-Cristur,81.5228426395939
109826,Simian,78.15635939323221
129317,Tatulesti,78.12061711079944
112263,Ilovat,78.10894141829394
89026,Bunila,77.96052631578948
3841,Ceru-Bacainti,77.93427230046949
74108,Seaca De Camp,77.5827143821742
54699,Zorlentu Mare,76.94954128440367
113518,Stangaceaua,75.71157495256168
154521,Talpa,75.7070340826686
48165,Pardosi,75.07987220447285
103309,Gogosari,75.0186428038777
126905,Fagetelu,74.84848484848484
74171,Secu,74.17380660954713
74931,Plesoi,73.79310344827586
103568,Gurbanesti,73.34096109839817
72409,Ghercesti,72.98335467349551
129282,Stefan Cel Mare,72.8581713462923
110688,Balvanesti,72.71468144044321
91054,Sarmizegetusa,72.65135699373695
126380,Coteana,72.18543046357615
112771,Oprisor,71.94835680751174
74359,Terpezita,71.47487844408428
154460,Suhaia,71.38009049773756
73246,Mischii,71.37907137907138
59434,Sancraiu,71.22137404580153
111097,Cazanesti,71.03729603729603
59498,Sanmartin,71.00802854594113
113929,Vladaia,70.79091620986688
113466,Rogova,70.22900763358778
129503,Topana,70.03610108303249
74949,Rojiste,69.62406015037594
101519,Bulbucata,69.5852534562212
130384,Soparlita,69.46410515672396
127812,Oboga,69.25308194343728
157969,Ohaba Lunga,69.23076923076923
88216,Batrana,69.0721649484536
156534,Criciova,68.71717929482371
103693,Iepuresti,68.5583822570124
126503,Cungrea,68.4041184041184
152350,Calinesti,68.22660098522168
74616,Vela,68.19407008086253
6119,Ocolis,68.07610993657505
112370,Isverna,67.77332570120205
128882,Samburesti,67.68507638072856
50399,Valcelele,67.13780918727915
74867,Carna,67.13483146067416
154308,Sarbeni,66.9776119402985
102071,Colibasi,66.82908545727136
94606,Ulmu,66.7605633802817
70673,Amarastii De Sus,66.66666666666667
104715,Putineiu,66.59352715304443
30773,Rieni,66.4860358482701
2381,Arieseni,66.398243045388
143147,Zimbor,66.25463535228677
105348,Stoenesti,65.79283887468031
103238,Ghimpati,65.74793875147232
42449,Sinca Noua,65.6832298136646
111587,Dumbrava,65.4309545875811
88868,Bucuresci,65.38461538461539
70986,Brabova,65.33203125
156151,Brestovat,65.22462562396007
130062,Voineasa,65.22248243559719
16659,Hartiesti,65.18475750577367
45334,Blajani,65.07352941176471
74135,Seaca De Padure,65.06849315068493
158136,Pietroasa,64.72684085510689
17771,Nucsoara,64.53333333333333
127901,Optasi-Magura,64.48598130841121
87843,Balsa,64.4640234948605
90431,Pestisu Mic,64.4308943089431
46108,Chiliile,64.1025641025641
102838,Frasinet,63.98763523956723
104519,Oinacu,63.474791439970986
110946,Burila Mare,63.40450771055753
127858,Oporelu,63.25088339222615
65154,Estelnic,63.18742985409652
32045,Viisoara,63.07837582625118
22488,Filipeni,62.865497076023395
50479,Ziduri,62.86135693215339
53069,Lapusnicel,62.531969309462916
16329,Dambovicioara,62.483311081441926
153384,Mosteni,62.226117440841364
153909,Rasmiresti,62.035541195476576
45888,Canesti,61.99324324324324
73772,Predesti,61.9928400954654
59942,Vad,61.98243412797992
151503,Capu Campului,61.92226890756302
4008,Ciuruleasa,61.904761904761905
154013,Scrioastea,61.86770428015564
27971,Buntesti,61.84606956998083
155092,Beuca,61.441090555014604
112664,Malovat,61.36576239476146
114060,Branistea,61.32332878581173
112995,Ponoarele,61.063291139240505
85626,Siculeni,61.04651162790697
91535,Toplita,61.032863849765256
31057,Sambata,60.9375
90805,Ribita,60.68222621184919
101984,Clejani,60.64437194127243
128105,Oras Piatra-Olt,60.604299825682745
57225,Ciurila,60.586319218241044
151996,Balaci,60.497667185069986
92097,Vorta,60.416666666666664
104047,Letca Noua,60.40530007794232
81656,Samarinesti,60.234321157822194
18475,Rociu,60.117878192534384
155136,Purani,59.85790408525755
113493,Salcia,59.446606139213145
43019,Ciresu,59.34819897084048
30416,Pocola,59.32773109243698
86495,Racu,59.30501930501931
29948,Lunca,59.28196147110333
154914,Viisoara,59.23664122137404
170685,Ladesti,59.21052631578947
90262,Martinesti,59.1187270501836
140583,Coseiu,59.11431513903192
113698,Sovarna,58.957654723127035
94125,Alexandru Odobescu,58.85057471264368
20048,Raca,58.8235294117647
86438,Madaras,58.67178924259056
125659,Babiciu,58.64089045108377
78668,Arcani,58.60215053763441
53103,Lapusnicu Mare,58.463832960477255
86749,Carjiti,58.46153846153846
79736,Calnic,58.44723892837616
171101,Maciuca,58.43023255813954
111006,Butoiesti,58.407766990291265
152582,Cosmesti,58.36263184329483
105419,Stefanestii De Jos,58.27968771401178
6164,Ohaba,58.22306238185255
51626,Brebu,58.21989528795812
179926,Rascaeti,58.188932364449414
127714,Nicolae Titulescu,58.13953488372093
151709,Ciuperceni,58.110236220472444
152902,Draganesti-Vlasca,58.09257533395464
152127,Bogdana,58.04398148148148
94731,Valcelele,57.92151162790697
73371,Murgasi,57.8783151326053
125677,Baldovinesti,57.7906976744186
80285,Farcasesti,57.630979498861045
78748,Balanesti,57.5875486381323
91624,Totesti,57.39528795811518
4767,Horea,57.33578882750153
30844,Rosia,57.33540694660446
158608,Secas,57.333333333333336
129987,Valcele,57.284595300261095
70726,Apele Vii,57.20288115246098
154415,Stejaru,57.09169054441261
157193,Ghizela,57.08418891170431
72980,Macesu De Jos,57.07502374169041
104341,Nicolae Balcescu,57.07277187244481
105295,Stanesti,57.03458076740881
31128,Sarbi,57.03245749613601
31609,Tarcaia,57.028360049321826
84237,Danesti,57.02658708627238
28763,Cociuba Mare,56.98030634573304
174520,Mitrofani,56.97823303457106
18581,Sapata,56.86131386861314
66955,Cornatelu,56.8609022556391
57314,Catcau,56.81206246634356
130339,Gura Padinii,56.800563777307964
5167,Livezile,56.657223796033996
80980,Negomir,56.62438336856942
86519,Santimbru,56.61252900232019
85412,Remetea,56.55880643286185
