Siruta,Localitate,Categorie dominanta
1017,Municipiul Alba Iulia,Femei_45-64
1071,Ciugud,Femei_45-64
1151,Oras Abrud,Barbati_45-64
1213,Municipiul Aiud,Barbati_45-64
1348,Municipiul Blaj,Femei_45-64
1455,Oras Campeni,Barbati_45-64
1696,Oras Cugir,Femei_45-64
1794,Oras Ocna Mures,Barbati_45-64
1874,Municipiul Sebes,Femei_45-64
1936,Oras Zlatna,Barbati_45-64
2130,Albac,Barbati_45-64
2309,Almasu Mare,Barbati_45-64
2381,Arieseni,Barbati_45-64
2577,Avram Iancu,Barbati_45-64
2915,Oras Baia De Aries,Barbati_45-64
2988,Berghin,Barbati_45-64
3039,Bistra,Barbati_45-64
3397,Blandiana,Barbati_45-64
3459,Bucium,Barbati_45-64
3761,Cenade,Barbati_45-64
3805,Cergau,Barbati_45-64
3841,Ceru-Bacainti,Barbati_45-64
3958,Cetatea De Balta,Barbati_45-64
4008,Ciuruleasa,Barbati_45-64
4106,Calnic,Barbati_45-64
4142,Cricau,Barbati_45-64
4188,Craciunelu De Jos,Barbati_45-64
4240,Daia Romana,Barbati_45-64
4268,Dostat,Barbati_45-64
4302,Farau,Barbati_45-64
4366,Galda De Jos,Barbati_45-64
4482,Garbova,Barbati_45-64
4525,Garda De Sus,Barbati_45-64
4703,Hoparta,Barbati_45-64
4767,Horea,Barbati_45-64
4927,Ighiu,Barbati_45-64
4981,Intregalde,Barbati_45-64
5103,Jidvei,Barbati_45-64
5167,Livezile,Barbati_45-64
5210,Lopadea Noua,Barbati_45-64
5309,Lunca Muresului,Barbati_45-64
5336,Lupsa,Barbati_45-64
5577,Metes,Barbati_45-64
5700,Mihalt,Barbati_45-64
5755,Miraslau,Barbati_45-64
5826,Mogos,Barbati_45-64
6048,Noslac,Barbati_45-64
6119,Ocolis,Barbati_45-64
6164,Ohaba,Femei_65_
6217,Pianu,Barbati_45-64
6271,Poiana Vadului,Barbati_45-64
6397,Ponor,Barbati_45-64
6468,Posaga,Femei_45-64
6547,Radesti,Barbati_45-64
6592,Rametea,Femei_45-64
6627,Ramet,Femei_45-64
6761,Rosia Montana,Barbati_45-64
6930,Rosia De Secas,Barbati_45-64
6976,Salciua,Barbati_45-64
7044,Salistea,Barbati_45-64
7099,Sasciori,Barbati_45-64
7197,Scarisoara,Barbati_45-64
7348,Sancel,Barbati_45-64
7384,Santimbru,Femei_45-64
7446,Sohodol,Barbati_45-64
7767,Stremt,Barbati_45-64
7810,Sibot,Barbati_45-64
7865,Sona,Barbati_45-64
7945,Spring,Barbati_45-64
8014,Sugag,Barbati_45-64
8096,Oras Teius,Barbati_45-64
8158,Unirea,Barbati_45-64
8229,Vadu Motilor,Barbati_45-64
8354,Valea Lunga,Barbati_45-64
8425,Vidra,Barbati_45-64
8826,Vintu De Jos,Barbati_45-64
9019,Cut,Barbati_45-64
9026,Bucerdea Granoasa,Barbati_45-64
9262,Municipiul Arad,Barbati_45-64
9280,Fantanele,Barbati_45-64
9333,Livada,Barbati_45-64
9360,Sofronea,Barbati_45-64
9397,Vladimirescu,Barbati_45-64
9459,Oras Chisineu-Cris,Barbati_45-64
9495,Oras Curtici,Barbati_45-64
9538,Oras Ineu,Barbati_45-64
9574,Oras Lipova,Barbati_45-64
9627,Oras Nadlac,Femei_45-64
9654,Oras Pancota,Barbati_45-64
9690,Oras Sebis,Barbati_45-64
9743,Almas,Barbati_45-64
9798,Apateu,Barbati_45-64
9832,Archis,Barbati_45-64
9887,Bata,Barbati_45-64
9930,Beliu,Barbati_45-64
10006,Birchis,Barbati_45-64
10051,Barsa,Barbati_45-64
10104,Barzava,Barbati_45-64
10195,Bocsig,Barbati_45-64
10239,Brazii,Barbati_45-64
10293,Buteni,Barbati_45-64
10346,Carand,Barbati_45-64
10373,Cermei,Barbati_45-64
10417,Chisindia,Barbati_45-64
10453,Conop,Femei_45-64
10514,Covasint,Barbati_45-64
10532,Craiva,Barbati_45-64
10649,Dezna,Femei_45-64
10701,Dieci,Femei_45-64
10765,Ususau,Barbati_45-64
10827,Felnac,Barbati_45-64
10872,Ghioroc,Barbati_45-64
10916,Graniceri,Barbati_45-64
10943,Gurahont,Barbati_45-64
11058,Halmagiu,Barbati_45-64
11174,Halmagel,Barbati_45-64
11236,Hasmas,Barbati_45-64
11307,Ignesti,Barbati_45-64
11352,Iratosu,Barbati_45-64
11398,Macea,Barbati_45-64
11423,Misca,Barbati_45-64
11478,Moneasa,Barbati_45-64
11502,Olari,Barbati_45-64
11539,Paulis,Barbati_45-64
11584,Oras Pecica,Barbati_45-64
11637,Peregu Mare,Barbati_45-64
11664,Petris,Barbati_45-64
11735,Pilu,Barbati_45-64
11762,Plescuta,Barbati_45-64
11842,Savarsin,Barbati_45-64
11940,Secusigiu,Barbati_45-64
11995,Seleus,Barbati_45-64
12037,Semlac,Barbati_45-64
12055,Sintea Mare,Barbati_45-64
12091,Oras Santana,Barbati_45-64
12126,Socodor,Barbati_45-64
12144,Sagu,Barbati_45-64
12206,Seitin,Barbati_45-64
12224,Sepreus,Barbati_45-64
