Siruta,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
32768,Budesti,0.0,0.0,0.0,0.0,0.0,0.0
49153,Sahateni,390087.0,0.0,0.0,0.0,0.0,0.0
57350,Cojocna,497686.0,0.0,0.0,1172526.0,0.0,0.0
90119,Lunca Cernii De Jos,0.0,0.0,0.0,0.0,0.0,0.0
73736,Poiana Mare,2813622.0,0.0,0.0,3390.0,0.0,37726.0
147465,Bunesti,0.0,0.0,0.0,0.0,0.0,0.0
155662,Bara,626724.0,0.0,0.0,0.0,0.0,0.0
139287,Valea Vinului,0.0,412773.0,0.0,0.0,0.0,0.0
114710,Oras Ludus,1343867.0,0.0,0.0,3648337.0,0.0,0.0
122908,Grumazesti,31583.0,0.0,0.0,0.0,0.0,67789.0
131103,Oras Breaza,823.0,0.0,0.0,3246201.0,0.0,0.0
40991,Fundata,0.0,0.0,0.0,0.0,0.0,0.0
98337,Plugari,0.0,0.0,0.0,0.0,9846782.0,557728.0
8229,Vadu Motilor,0.0,0.0,0.0,0.0,0.0,0.0
16427,Dobresti,0.0,7750.0,0.0,0.0,0.0,0.0
32811,Caianu Mic,0.0,0.0,0.0,268501.0,0.0,0.0
73772,Predesti,0.0,0.0,0.0,0.0,0.0,248744.0
172082,Pausesti-Maglasi,9636.0,0.0,0.0,0.0,0.0,0.0
49206,Sapoca,0.0,0.0,0.0,0.0,0.0,62110.0
24631,Poduri,11622.0,0.0,0.0,0.0,0.0,0.0
163903,Gagesti,2728717.0,0.0,0.0,0.0,0.0,0.0
106559,Municipiul Sighetu Marmatiei,0.0,0.0,0.0,293767.0,0.0,0.0
139330,Vama,0.0,0.0,0.0,1338307.0,0.0,0.0
81987,Schela,0.0,0.0,0.0,2109805.0,0.0,0.0
98373,Oras Podu Iloaiei,41623.0,150858.0,0.0,6500371.0,0.0,5237131.0
147526,Cacica,0.0,0.0,0.0,0.0,0.0,0.0
16454,Domnesti,29768.0,0.0,0.0,312865.0,0.0,0.0
65609,Oras Fieni,0.0,0.0,0.0,84629.0,0.0,0.0
122953,Hangu,0.0,0.0,0.0,0.0,0.0,0.0
41033,Halchiu,2814585.0,0.0,0.0,1.9479807E7,650130.0,0.0
155724,Beba Veche,1.083939E7,0.0,0.0,58695.0,87124.0,0.0
49233,Sarulesti,234822.0,0.0,0.0,0.0,0.0,0.0
16472,Dragoslavele,0.0,0.0,0.0,0.0,0.0,0.0
139358,Vetis,363432.0,0.0,0.0,8500.0,0.0,0.0
90208,Luncoiu De Jos,0.0,0.0,0.0,0.0,0.0,0.0
57449,Cornesti,0.0,0.0,0.0,0.0,0.0,0.0
65645,Motaieni,0.0,0.0,0.0,0.0,0.0,0.0
155760,Becicherecu Mic,1.4436484E7,0.0,0.0,194875.0,3351857.0,650481.0
32884,Cetate,0.0,911828.0,0.0,981451.0,0.0,0.0
114809,Municipiul Reghin,8717024.0,1.719146E7,0.0,1.5170647E7,1110925.0,0.0
16506,Draganu,0.0,0.0,0.0,0.0,0.0,0.0
172153,Perisani,0.0,0.0,0.0,16176.0,0.0,0.0
