Siruta,Localitate,Judet,Populatie
1017,Municipiul Alba Iulia,ab,74283
1071,Ciugud,ab,2983
1151,Oras Abrud,ab,5513
1213,Municipiul Aiud,ab,26318
1348,Municipiul Blaj,ab,20994
1455,Oras Campeni,ab,7629
1696,Oras Cugir,ab,26768
1794,Oras Ocna Mures,ab,14641
1874,Municipiul Sebes,ab,32552
1936,Oras Zlatna,ab,7974
2130,Albac,ab,2126
2309,Almasu Mare,ab,1287
2381,Arieseni,ab,1722
2577,Avram Iancu,ab,1560
2915,Oras Baia De Aries,ab,4076
2988,Berghin,ab,2057
3039,Bistra,ab,4839
3397,Blandiana,ab,948
3459,Bucium,ab,1530
3761,Cenade,ab,983
3805,Cergau,ab,1628
3841,Ceru-Bacainti,ab,257
3958,Cetatea De Balta,ab,3175
4008,Ciuruleasa,ab,1198
4106,Calnic,ab,1880
4142,Cricau,ab,2112
4188,Craciunelu De Jos,ab,2148
4240,Daia Romana,ab,3150
4268,Dostat,ab,999
4302,Farau,ab,1623
4366,Galda De Jos,ab,4408
4482,Garbova,ab,2119
4525,Garda De Sus,ab,1696
4703,Hoparta,ab,1197
4767,Horea,ab,2102
4927,Ighiu,ab,6867
4981,Intregalde,ab,627
5103,Jidvei,ab,5309
5167,Livezile,ab,1271
5210,Lopadea Noua,ab,2716
5309,Lunca Muresului,ab,2550
5336,Lupsa,ab,3174
5577,Metes,ab,2833
5700,Mihalt,ab,3279
5755,Miraslau,ab,2122
5826,Mogos,ab,812
6048,Noslac,ab,1817
6119,Ocolis,ab,590
6164,Ohaba,ab,675
6217,Pianu,ab,3611
6271,Poiana Vadului,ab,1110
6397,Ponor,ab,576
6468,Posaga,ab,1065
6547,Radesti,ab,1327
6592,Rametea,ab,1051
6627,Ramet,ab,542
6761,Rosia Montana,ab,2871
6930,Rosia De Secas,ab,1601
6976,Salciua,ab,1549
7044,Salistea,ab,2354
7099,Sasciori,ab,6419
7197,Scarisoara,ab,1682
7348,Sancel,ab,2703
7384,Santimbru,ab,3019
7446,Sohodol,ab,1797
7767,Stremt,ab,2479
7810,Sibot,ab,2464
7865,Sona,ab,4433
7945,Spring,ab,2591
8014,Sugag,ab,2913
8096,Oras Teius,ab,7519
8158,Unirea,ab,5071
8229,Vadu Motilor,ab,1375
8354,Valea Lunga,ab,3138
8425,Vidra,ab,1658
8826,Vintu De Jos,ab,5475
9019,Cut,ab,1269
9026,Bucerdea Granoasa,ab,2406
9262,Municipiul Arad,ar,179155
9280,Fantanele,ar,3712
9333,Livada,ar,3474
9360,Sofronea,ar,2751
9397,Vladimirescu,ar,12982
9459,Oras Chisineu-Cris,ar,8437
9495,Oras Curtici,ar,8716
9538,Oras Ineu,ar,9581
9574,Oras Lipova,ar,11396
9627,Oras Nadlac,ar,8002
9654,Oras Pancota,ar,8126
9690,Oras Sebis,ar,6445
9743,Almas,ar,2625
9798,Apateu,ar,3431
9832,Archis,ar,1545
9887,Bata,ar,1059
9930,Beliu,ar,3025
10006,Birchis,ar,1889
10051,Barsa,ar,1834
10104,Barzava,ar,2543
10195,Bocsig,ar,3396
10239,Brazii,ar,1226
10293,Buteni,ar,3407
10346,Carand,ar,1160
10373,Cermei,ar,2740
10417,Chisindia,ar,1317
10453,Conop,ar,2280
10514,Covasint,ar,2721
10532,Craiva,ar,2897
10649,Dezna,ar,1206
10701,Dieci,ar,1490
10765,Ususau,ar,1420
10827,Felnac,ar,3143
10872,Ghioroc,ar,4084
10916,Graniceri,ar,2545
10943,Gurahont,ar,3900
11058,Halmagiu,ar,2766
11174,Halmagel,ar,1226
11236,Hasmas,ar,1269
11307,Ignesti,ar,721
11352,Iratosu,ar,2557
11398,Macea,ar,7166
11423,Misca,ar,3787
11478,Moneasa,ar,920
11502,Olari,ar,2006
11539,Paulis,ar,4340
11584,Oras Pecica,ar,14124
11637,Peregu Mare,ar,1807
11664,Petris,ar,1382
11735,Pilu,ar,2183
11762,Plescuta,ar,1161
11842,Savarsin,ar,2925
11940,Secusigiu,ar,6216
11995,Seleus,ar,2987
12037,Semlac,ar,4236
12055,Sintea Mare,ar,3844
12091,Oras Santana,ar,15636
12126,Socodor,ar,2277
12144,Sagu,ar,4159
12206,Seitin,ar,3091
12224,Sepreus,ar,2907
12242,Sicula,ar,4277
12288,Silindia,ar,875
12340,Simand,ar,4433
12368,Siria,ar,9083
12402,Sistarovat,ar,319
12457,Taut,ar,1665
12509,Tarnova,ar,6203
12572,Varadia De Mures,ar,1685
12643,Vinga,ar,6866
12689,Varfurile,ar,2681
12778,Zabrani,ar,4607
12812,Zarand,ar,2745
12849,Zerind,ar,1443
