Siruta,Localitate,PlanteNep_PlanteInm
48771,Posta Calnau,174149741.0
5103,Jidvei,153117218.0
174744,Municipiul Focsani,63563341.0
179409,Oras Magurele,45990261.0
62538,Ostrov,44579763.0
179132,Municipiul Bucuresti,29007348.0
70502,Oras Segarcea,24306090.0
40438,Municipiul Sacele,21476129.0
133688,Gura Vadului,17263023.0
114809,Municipiul Reghin,17191460.0
158314,Oras Recas,16311147.0
21720,Casin,15240405.0
32394,Municipiul Bistrita,13749133.0
178180,Tifesti,12543569.0
143450,Municipiul Sibiu,9951677.0
9262,Municipiul Arad,9460565.0
79308,Oras Bumbesti-Jiu,9349108.0
102543,1 Decembrie,6310404.0
140440,Camar,6060628.0
54975,Municipiul Cluj-Napoca,5935232.0
161794,Municipiul Barlad,5351578.0
131620,Oras Urlati,4854838.0
20297,Municipiul Bacau,4775971.0
144152,Bazna,4710756.0
26379,Itesti,4262904.0
43411,Oras Insuratei,4158118.0
106318,Municipiul Baia Mare,4043069.0
178689,Vartescoiu,3814501.0
48682,Podgoria,3747772.0
111275,Corcova,3652887.0
42682,Municipiul Braila,3629086.0
65342,Municipiul Targoviste,3156519.0
162924,Bunesti-Averesti,2914125.0
155261,Dumbravita,2911848.0
167981,Municipiul Dragasani,2886292.0
158109,Periam,2811647.0
60419,Municipiul Constanta,2696911.0
105384,Soldanu,2645285.0
175019,Oras Odobesti,2495386.0
69900,Municipiul Craiova,2467372.0
151978,Oras Zimnicea,2461153.0
103470,Greaca,2442994.0
110232,Oras Vanju Mare,2393674.0
115520,Batos,2371595.0
88261,Beriu,2331334.0
161945,Municipiul Vaslui,2303643.0
136483,Municipiul Satu Mare,2225352.0
95088,Barnova,2223348.0
24427,Plopana,2219906.0
33435,Lechinta,2200289.0
95060,Municipiul Iasi,2138779.0
129139,Strejesti,2120330.0
176506,Jaristea,1992409.0
61372,Cogealac,1952561.0
161035,Niculitel,1905549.0
109176,Oras Somcuta Mare,1894714.0
105712,Valea Argovei,1808985.0
126772,Dobroteasa,1760061.0
146539,Municipiul Falticeni,1754304.0
63045,Topalu,1746811.0
60776,Oras Cernavoda,1709972.0
118209,Mica,1658015.0
5210,Lopadea Noua,1605777.0
63125,Valu Lui Traian,1603297.0
35731,Municipiul Botosani,1578118.0
143851,Oras Ocna Sibiului,1573462.0
30149,Nojorid,1500422.0
96478,Cotnari,1499834.0
177726,Slobozia Ciorasti,1491050.0
159687,Oras Isaccea,1485326.0
83320,Municipiul Miercurea Ciuc,1442541.0
155243,Municipiul Timisoara,1385495.0
159650,Oras Babadag,1364103.0
63740,Municipiul Targu Secuiesc,1333750.0
61559,Crucea,1319701.0
119206,Saschiz,1216440.0
1213,Municipiul Aiud,1198444.0
26564,Municipiul Oradea,1184145.0
4268,Dostat,1160467.0
175055,Oras Panciu,1157443.0
92569,Municipiul Calarasi,1104379.0
142006,Maeriste,1102833.0
47453,Merei,1096489.0
1874,Municipiul Sebes,1067356.0
12368,Siria,1040853.0
144928,Oras Miercurea Sibiului,1008603.0
175368,Bolotesti,981646.0
