Siruta,Localitate,CA_Totala
32768,Budesti,0.0
49153,Sahateni,390087.0
57350,Cojocna,1670212.0
90119,Lunca Cernii De Jos,0.0
73736,Poiana Mare,2854738.0
147465,Bunesti,0.0
155662,Bara,626724.0
139287,Valea Vinului,412773.0
114710,Oras Ludus,4992204.0
122908,Grumazesti,99372.0
131103,Oras Breaza,3247024.0
40991,Fundata,0.0
98337,Plugari,10404510.0
8229,Vadu Motilor,0.0
16427,Dobresti,7750.0
32811,Caianu Mic,268501.0
73772,Predesti,248744.0
172082,Pausesti-Maglasi,9636.0
49206,Sapoca,62110.0
24631,Poduri,11622.0
163903,Gagesti,2728717.0
106559,Municipiul Sighetu Marmatiei,293767.0
139330,Vama,1338307.0
81987,Schela,2109805.0
98373,Oras Podu Iloaiei,11929983.0
147526,Cacica,0.0
16454,Domnesti,342633.0
65609,Oras Fieni,84629.0
122953,Hangu,0.0
41033,Halchiu,22944522.0
155724,Beba Veche,10985209.0
49233,Sarulesti,234822.0
16472,Dragoslavele,0.0
139358,Vetis,371932.0
90208,Luncoiu De Jos,0.0
57449,Cornesti,0.0
65645,Motaieni,0.0
155760,Becicherecu Mic,18633697.0
32884,Cetate,1893279.0
114809,Municipiul Reghin,42190056.0
16506,Draganu,0.0
172153,Perisani,16176.0
73852,Radovan,959123.0
106620,Sarasau,0.0
163967,Gherghesti,0.0
82047,Slivilesti,0.0
147580,Calafindesti,227506.0
41088,Harman,11082212.0
139394,Viile Satu Mare,1079110.0
98435,Popesti,276033.0
123013,Icusesti,1166143.0
24711,Racova,504498.0
131210,Oras Busteni,0.0
65681,Oras Gaesti,2487165.0
90262,Martinesti,0.0
155797,Belint,1496814.0
41113,Harseni,141272.0
106648,Vadu Izei,0.0
49313,Scortoasa,0.0
8354,Valea Lunga,71934.0
16551,Godeni,13890.0
114854,Oras Sovata,0.0
65707,Gura Foii,800694.0
73905,Rast,2574577.0
147633,Oras Cajvana,0.0
131256,Municipiul Campina,885259.0
32955,Ciceu-Giurgesti,622846.0
106684,Oras Baia Sprie,348735.0
24766,Racaciuni,2488649.0
73923,Robanesti,11558258.0
155840,Bethausen,0.0
98505,Popricani,10786614.0
131274,Poiana Campina,0.0
57546,Dabaca,37006.0
147660,Ilisesti,26110.0
41177,Hoghiz,266574.0
65752,Petresti,818813.0
82136,Stanesti,473070.0
164062,Garceni,0.0
123102,Ion Creanga,632969.0
16613,Harsesti,3095799.0
90342,Orastioara De Sus,2465639.0
8425,Vidra,181719.0
114925,Municipiul Tarnaveni,3433121.0
57582,Feleacu,1880359.0
172279,Pesceana,0.0
33015,Chiochis,2250.0
106746,Oras Borsa,61258.0
147713,Carlibaba,0.0
24837,Rachitoasa,0.0
155911,Biled,8623112.0
131336,Oras Comarnic,0.0
73996,Sadova,435718.0
16659,Hartiesti,0.0
114970,Acatari,797724.0
49439,Scutelnici,10253435.0
106782,Oras Cavnic,0.0
41248,Homorod,0.0
123175,Margineni,0.0
