Siruta,Localitate,CA_capita
32768,Budesti,0.0
49153,Sahateni,114.83279364144833
57350,Cojocna,398.7137741704464
90119,Lunca Cernii De Jos,0.0
73736,Poiana Mare,267.42276346604217
147465,Bunesti,0.0
155662,Bara,1940.3219814241486
139287,Valea Vinului,206.28335832083957
114710,Oras Ludus,283.55128933318184
122908,Grumazesti,18.107142857142858
131103,Oras Breaza,193.66718358582847
40991,Fundata,0.0
98337,Plugari,2942.451923076923
8229,Vadu Motilor,0.0
16427,Dobresti,4.3466068424004485
32811,Caianu Mic,62.21061167747915
73772,Predesti,119.30167865707433
172082,Pausesti-Maglasi,2.4011961126339396
49206,Sapoca,18.118436406067676
24631,Poduri,1.4258373205741626
163903,Gagesti,1360.277666999003
106559,Municipiul Sighetu Marmatiei,6.654592819118813
139330,Vama,326.81489621489624
81987,Schela,1217.4293133294864
98373,Oras Podu Iloaiei,1081.1040326234709
147526,Cacica,0.0
16454,Domnesti,108.56558935361217
65609,Oras Fieni,11.059722948248824
122953,Hangu,0.0
41033,Halchiu,4774.141073657927
155724,Beba Veche,6895.925298179535
49233,Sarulesti,172.28319882611885
16472,Dragoslavele,0.0
139358,Vetis,68.60948164545287
90208,Luncoiu De Jos,0.0
57449,Cornesti,0.0
65645,Motaieni,0.0
155760,Becicherecu Mic,5885.564434617814
32884,Cetate,653.9823834196891
114809,Municipiul Reghin,1103.3830059889635
16506,Draganu,0.0
172153,Perisani,7.125991189427313
73852,Radovan,713.6331845238095
106620,Sarasau,0.0
163967,Gherghesti,0.0
82047,Slivilesti,0.0
147580,Calafindesti,76.29309188464119
41088,Harman,1786.5890698049332
139394,Viile Satu Mare,283.9763157894737
98435,Popesti,49.53041449847479
123013,Icusesti,240.59067464410975
24711,Racova,141.0
131210,Oras Busteni,0.0
65681,Oras Gaesti,162.07252704287762
90262,Martinesti,0.0
155797,Belint,575.9191996921893
41113,Harseni,62.53740593182824
106648,Vadu Izei,0.0
49313,Scortoasa,0.0
8354,Valea Lunga,22.923518164435947
16551,Godeni,4.623834886817576
114854,Oras Sovata,0.0
65707,Gura Foii,360.67297297297296
73905,Rast,722.1814866760168
147633,Oras Cajvana,0.0
131256,Municipiul Campina,23.56041411614414
32955,Ciceu-Giurgesti,396.4646721833227
106684,Oras Baia Sprie,20.404598911707918
24766,Racaciuni,297.01026375462465
73923,Robanesti,5038.4734088927635
155840,Bethausen,0.0
98505,Popricani,1301.630746953059
131274,Poiana Campina,0.0
57546,Dabaca,25.609688581314877
147660,Ilisesti,8.981768145854833
41177,Hoghiz,51.01894736842105
65752,Petresti,145.61853103325626
82136,Stanesti,212.04392649036308
164062,Garceni,0.0
123102,Ion Creanga,109.26445710340066
16613,Harsesti,1354.242782152231
90342,Orastioara De Sus,1142.5574606116775
8425,Vidra,109.60132689987937
114925,Municipiul Tarnaveni,129.5517358490566
57582,Feleacu,499.29872543813065
172279,Pesceana,0.0
33015,Chiochis,0.7653061224489796
106746,Oras Borsa,2.0500652588601453
147713,Carlibaba,0.0
24837,Rachitoasa,0.0
155911,Biled,2129.689306001482
131336,Oras Comarnic,0.0
73996,Sadova,49.88756583466911
16659,Hartiesti,0.0
114970,Acatari,165.74361105339705
49439,Scutelnici,4415.7773471145565
106782,Oras Cavnic,0.0
41248,Homorod,0.0
123175,Margineni,0.0
164133,Grivita,212.19429347826087
98603,Prisacani,4.608294930875576
57644,Fizesu Gherlii,743.2865147553231
74028,Salcuta,171.5027752081406
65841,Municipiul Moreni,37.01490937439096
172340,Pietrari,0.0
155957,Barna,0.0
90431,Pestisu Mic,0.0
106817,Oras Targu Lapus,0.0
82243,Stejari,0.0
41284,Jibert,0.0
147786,Cornu Luncii,0.0
49484,Siriu,0.0
65869,Iedera,0.0
131407,Oras Mizil,4210.19277400582
74073,Scaesti,332.05817835002387
98649,Probota,197.63281042275992
172377,Popesti,49.98947022046726
123228,Moldoveni,2492.6714219972387
33122,Chiuza,0.0
16739,Izvoru,913.1323328785812
164197,Hoceni,0.0
57706,Floresti,2272.1019777722545
131443,Oras Plopeni,0.0
16757,Leordeni,196.21026809181706
123255,Oniceni,0.0
98685,Raducaneni,436.80817474048445
74108,Seaca De Camp,15.750538793103448
65921,Oras Pucioasa,2.029348743588079
156035,Bogda,0.0
41346,Lisa,190.8253178551686
115076,Adamus,310.088932454108
131461,Dumbravesti,0.0
49545,Smeeni,1613.0310427968657
82314,Stoina,16.726997840172785
57742,Frata,279.19069767441863
74135,Seaca De Padure,1874.6851282051282
33177,Cosbuc,0.0
41382,Maierus,0.0
24999,Rosiori,23.248110831234257
90538,Pui,72.17274427302478
172457,Prundeni,0.1665859564164649
147884,Crucea,0.0
33202,Dumitra,6.2112598569594715
98738,Romanesti,2982.049568965517
164277,Dimitrie Cantemir,0.0
74171,Secu,54.34910122989593
139704,Municipiul Zalau,1719.1102394892423
156106,Boldur,2986.3596037898365
41417,Mandra,0.0
115147,Alunis,0.0
131540,Oras Sinaia,0.17097053726169845
98774,Ruginoasa,484.31768897149936
66009,Branesti,0.0
49625,Stalpu,3171.012787723785
82396,Telesti,0.0
139740,Oras Cehu Silvaniei,2562.8692962103637
172509,Racovita,0.0
33248,Feldru,1.114138623807132
106979,Oras Viseu De Sus,0.033735072368059
147937,Darmanesti,0.0
57831,Geaca,0.0
123371,Pastraveni,114.8815014720314
49643,Tisau,111.2499456639861
25068,Sascut,1368.7496765203543
115183,Apold,197.43947450735064
74224,Silistea Crucii,2124.3204081632653
164339,Iana,0.0
156151,Brestovat,1412.7442528735633
107001,Ardusat,5647.368306801736
33275,Galatii Bistritei,99.27496038034866
131577,Oras Slanic,186.1896987039219
41471,Moieciu,0.0
82430,Oras Tismana,2.9282310064479957
74242,Sopot,1370.1765042979944
98827,Schitu Duca,0.0
16908,Leresti,18.662068965517243
66081,Oras Titu,61.90039571469935
123424,Petricani,60.222385620915034
139811,Oras Jibou,44.412605533729
148006,Oras Dolhasca,22.28102921936328
115236,Atintis,577.992390615092
90663,Rapoltu Mare,35.57992939989914
107047,Arinis,150.18840579710144
131620,Oras Urlati,1873.6093347086128
172581,Roesti,0.0
164393,Ivanesti,12.423042505592841
57902,Gilau,1808.125919117647
16944,Lunca Corbului,1263.6757957068837
156213,Carpinis,4108.046836337929
33337,Ilva Mare,0.0
25148,Sanduleni,0.0
41541,Ormenis,0.0
107083,Asuaju De Sus,0.0
74322,Teasc,131.10755148741418
33364,Ilva Mica,0.0
123479,Piatra Soimului,94.38245857953888
57948,Garbau,18.017687661777394
156259,Cenad,2803.1312487142563
90725,Rachitova,0.0
98916,Scanteia,1108.129329403095
33382,Josenii Bargaului,0.0
49769,Topliceni,0.954639175257732
66152,Branistea,1035.2921643573818
41578,Parau,80.27727682596934
115307,Bahnea,328.1347953998395
139884,Oras Simleu Silvaniei,900.7175086107922
107118,Baita De Sub Codru,0.0
74359,Terpezita,5905.124035989717
156277,Cenei,2962.587342589603
8826,Vintu De Jos,1314.6140639269406
82555,Turburea,0.0
123521,Pipirig,0.0
148097,Dolhesti,7.744592129267657
25228,Saucesti,2207.9940981187756
107154,Baiut,85.56860321384426
41621,Poiana Marului,0.0
156311,Cheveresu Mare,0.19599109131403117
66198,Baleni,0.0
58008,Iara,22.257691361063255
172698,Rosiile,0.0
17049,Malureni,1.3177550149381134
33435,Lechinta,6564.232970898624
148131,Dorna-Arini,0.0
139937,Agrij,5.978107344632768
74411,Teslui,2004.8845155709344
66223,Barbuletu,0.0
90805,Ribita,0.0
98998,Scobinti,707.1026611009653
107190,Basesti,3186.1213626685594
82617,Oras Turceni,57.584945176789454
49849,Tintesti,801.6205908289242
115389,Band,2274.799269517577
164543,Ivesti,0.0
41667,Prejmer,393.0089397089397
156357,Oras Ciacova,1665.00186115764
25291,Scorteni,0.0
139982,Almasu,0.0
17101,Merisani,0.0
123601,Pangarati,25.6844113372093
107234,Bicaz,529.9287072243346
41701,Racos,0.0
49894,Ulmeni,1169.7050063371357
148202,Dorna Candrenilor,0.0
33514,Lesu,0.0
131817,Oras Valenii De Munte,0.45201056648077487
99058,Sinesti,0.0
164598,Laza,783.274328358209
82680,Tantareni,0.0
131835,Gura Vitioarei,0.0
90878,Rau De Mori,1501.2849196538937
33541,Livezile,7738.043324838267
107270,Bistra,0.0
41738,Recea,37.470443349753694
74509,Tuglui,0.0
172812,Runcu,63.97860962566845
25362,Secuieni,172.03336221837088
156437,Comlosu Mare,5499.594985358712
66330,Bezdead,0.0
123674,Podoleni,332.59875583203734
99101,Siretel,16.845697329376854
58142,Iclod,58.68386061439706
49956,Vadu Pasii,119.02007411982706
74536,Unirea,2995.3601795616582
82733,Urdari,0.0
107314,Barsana,0.0
140084,Babeni,73.72766749379653
17209,Micesti,102.44139273356402
131899,Adunati,0.0
9019,Cut,37.074862096138695
74554,Urzicuta,606.1689078386356
156473,Costeiu,233.4287933713102
123709,Poienari,0.0
115520,Batos,1929.2896405919662
9026,Bucerdea Granoasa,126.55153782211138
33603,Lunca Ilvei,1.1042852861851964
148293,Dornesti,703.6095041322315
164687,Lipovat,11623.465005931199
74581,Valea Stanciului,753.1466103251884
33621,Maieru,8.719852034525278
107350,Bocicoiu Mare,0.0
41818,Sercaia,22980.58686730506
82779,Vagiulesti,0.0
58204,Izvoru Crisului,0.0
99165,Stolniceni-Prajescu,176.0517335269559
172894,Salatrucel,0.0
131933,Albesti-Paleologu,9868.597563160723
66401,Bilciuresti,1237.9951272333515
17254,Mihaesti,4.610512569376429
50022,Valea Ramnicului,260.9940151381799
148328,Dragoiesti,289.46938775510205
140146,Balan,1554.116013495977
90994,Romos,3293.162340036563
156534,Criciova,0.0
