Judet,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
ab,67922020.0,157215511.0,2286030.0,636022357.0,16814542.0,26537509.0
ag,153421686.0,1711909.0,158707.0,277704651.0,9309329.0,16729495.0
ar,473128454.0,12994009.0,418837.0,103979525.0,41411490.0,34152213.0
b,2516831055.0,15871233.0,13136115.0,216949664.0,49321755.0,69409930.0
bc,173553593.0,24477532.0,2268525.0,108148932.0,166974081.0,118124482.0
bh,581925961.0,2977397.0,1546957.0,304508352.0,31812979.0,28636505.0
bn,11777746.0,17464799.0,758437.0,116435131.0,888808.0,3518755.0
br,1095256762.0,9128867.0,22705.0,221704814.0,59486880.0,58615174.0
bt,300264941.0,1973604.0,0.0,46506403.0,48069689.0,18703147.0
bv,54520902.0,2585818.0,20932953.0,612849218.0,101184584.0,50350013.0
bz,381991145.0,181189300.0,995499.0,453349958.0,97917386.0,93234460.0
cj,68402575.0,7454184.0,1106816.0,213398007.0,25377367.0,15959860.0
cl,1949468080.0,3435253.0,2645285.0,303923609.0,86352819.0,39449049.0
cs,78496812.0,884073.0,362.0,89950469.0,24841305.0,20630835.0
ct,1110816750.0,57141180.0,174492.0,124809230.0,160033330.0,123738282.0
cv,67490879.0,372844.0,1333750.0,18518750.0,22592126.0,4924055.0
db,124250511.0,1711525.0,4060133.0,293160971.0,6628817.0,27785621.0
dj,679969300.0,27694013.0,134340.0,135624981.0,11311928.0,48871184.0
gj,16546800.0,9537596.0,123982.0,24663121.0,608990.0,2846851.0
gl,343551797.0,1549034.0,0.0,89058317.0,24205214.0,41704229.0
gr,324543469.0,3083484.0,2074071.0,101076265.0,379965.0,23880691.0
hd,24208299.0,2628155.0,171358.0,165855160.0,7810235.0,3595538.0
hr,22939551.0,866425.0,1323131.0,20531982.0,11931359.0,13066848.0
if,399461413.0,5805068.0,48569145.0,197876249.0,12958282.0,32668123.0
il,863432611.0,342250.0,695467.0,219033545.0,103106167.0,40426555.0
is,327458740.0,7404271.0,400867.0,444090320.0,100739609.0,76320546.0
mh,39192262.0,6096961.0,0.0,26122124.0,1189933.0,1118956.0
mm,2714219.0,4584761.0,2437610.0,137674521.0,5493825.0,1672360.0
ms,96057336.0,24637549.0,247755.0,154412112.0,50017276.0,18949539.0
nt,228254913.0,443300.0,199140.0,133032275.0,35963288.0,85702440.0
ot,363413857.0,4251718.0,47611.0,42568075.0,2854200.0,30447399.0
ph,215334283.0,24358711.0,700244.0,487395607.0,152424574.0,9200259.0
sb,44577914.0,16728083.0,1573462.0,79277099.0,71235934.0,1775690.0
sj,104684679.0,8374761.0,1111666.0,95984608.0,8118894.0,3445667.0
sm,292065735.0,4353406.0,109294.0,242903954.0,56578121.0,296157515.0
sv,54416466.0,2937918.0,564814.0,46463530.0,40925300.0,3446110.0
tl,663178424.0,5462300.0,1100.0,85886005.0,22675666.0,43921335.0
tm,1222986002.0,25658729.0,1018620.0,859370585.0,91789059.0,131022379.0
tr,2340343919.0,2899788.0,631482.0,96296528.0,40172600.0,31773608.0
vl,24952999.0,4277423.0,0.0,229613705.0,3337672.0,9228182.0
vn,285682056.0,90913405.0,95192.0,364034705.0,12763540.0,19457347.0
vs,744195744.0,12604293.0,2888.0,109304773.0,1948729.0,10599334.0
