Tara,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Afghanistan,498,448,540,153,706,134,19,0.3,1.1,1,5.9,26,24.8,36,208,11
Albania,149,113,183,154,537,64,11,0,4.4,0.4,0.1,52.8,10.6,61,25,0
Algeria,153,131,175,103,314,85,12,0,5,0.5,0.9,48,13.7,61,48,1
Andorra,86,48,122,126,125,31,,,,,,,,72,22,0
Angola,483,435,531,179,486,231,19,2.2,1.4,8.3,4.8,22.2,24.8,33,251,1
Antigua and Barbuda,164,130,199,144,343,35,2.4,1,2.4,0,0,25.3,1.5,62,6,0
Argentina,136,92,179,142,212,52,1.3,0.2,7.7,0,0,56.5,3.4,65,49,0
Armenia,157,103,219,146,498,39,11,0.2,5.8,0.5,0.1,48.4,11.8,61,71,0
Australia,76,55,97,127,140,35,0.1,0,10.6,0,0,55.6,1.2,73,6,0
Austria,95,63,126,127,204,38,0,0,8.4,0,0,56,0.7,71,14,0
Azerbaijan,207,154,262,113,613,29,15,0,1.3,1,0.1,44.1,18.4,57,75,0
Bahamas,192,142,243,112,222,73,0.8,5.3,13,0,0,43.5,5.3,64,44,0
Bahrain,105,89,115,127,312,37,0.7,0.2,10.2,0,0,46,1.4,64,47,0
Bangladesh,254,258,251,111,428,101,20,0,2.7,0.7,2,45.4,17.6,54,239,0
Barbados,129,94,166,135,245,30,0,1.7,1.7,0,0,63.8,0,66,12,0
Belarus,242,125,354,143,592,154,1.5,3.2,18.1,0,0,37.5,9,61,73,0
Belgium,100,68,130,148,162,45,0.3,0.5,9.7,0,0,50.1,0.8,71,16,0
Belize,199,150,243,147,317,79,3.5,1,9.8,0,0,49,6.9,60,49,0
Benin,335,314,358,154,432,116,17,2.2,2.1,27.2,5.3,25,21.1,44,85,0
Bhutan,251,211,284,112,441,112,21,0.7,2.4,0.8,1.2,38.9,18.8,53,128,0
Bolivia,231,200,263,256,260,80,14,0.1,5.1,0.7,0.1,37.9,17.1,54,233,0
Bosnia and Herzegovina,117,79,157,121,492,43,0.6,0,3.7,0,0,52.7,2.5,64,63,0
Botswana,570,551,593,124,338,72,1.1,53.8,3.3,0,0.1,40.3,1.4,36,600,0
Brazil,192,134,248,142,341,81,12,0.3,3.2,0.5,0,38,13.2,60,60,0
Brunei Darussalam,110,95,122,114,210,33,1.1,0,9.2,0,0,63.7,0.7,65,62,0
