Judet,PondereAnalfabetism
gr,0.04389959388231228
tr,0.0398600190097641
is,0.03910394884645295
bc,0.038045450617817334
ms,0.0367147671303897
gl,0.03579020133068349
ct,0.03502116996457271
dj,0.03502116996457271
db,0.03496500475244103
il,0.034917480342175754
vs,0.032260433768253695
ph,0.030566836602436705
bz,0.0294521731616694
vn,0.028674500993692214
if,0.02740862352026268
bt,0.027136438261470663
tm,0.025291627062991446
sv,0.0246090037155448
ot,0.024047351594227943
br,0.022988853365592327
mh,0.02106627495031539
cj,0.02105331374751577
sm,0.02011146634407673
nt,0.01928626976583427
cl,0.018871511276246436
ag,0.018871511276246436
tl,0.01876350125291627
mm,0.018292577551196752
cv,0.017385293355223364
ar,0.016935971658169877
gj,0.016875486045104984
bn,0.01685820444137216
bh,0.01643480514991791
vl,0.01617126069299231
sj,0.015851551023935023
bv,0.015143005270889139
b,0.014438779918776462
hd,0.014361012701978744
hr,0.01394625421239091
ab,0.013799360580661885
sb,0.011894063769117775
cs,0.011613237708459345
